menu_id,restaurant_id,dish_name,cuisine,is_vegetarian,is_vegan
1,1,Boondi Raita,Indian,True,True
2,1,Fish Tikka,Indian,False,False
3,1,Aamras Poori,Indian,True,True
4,1,Pav Bhaji,Indian,True,True
5,1,Kerala Beef Fry,Indian,False,False
6,1,Aloo Paratha,Indian,True,True
7,1,Paneer Butter Masala,Indian,True,False
8,1,Pakora,Indian,True,True
9,2,Xiang La Xia (Spicy Shrimp),Chinese,True,True
10,2,Knife Shaved Noodles,Chinese,True,True
11,2,Chilli Paneer,Chinese,True,False
12,2,Schezwan Fried Rice,Chinese,True,True
13,2,Yang Zhi Gan Lu (Mango Sago Dessert),Chinese,True,True
14,2,Walnut Shrimp,Chinese,True,True
15,2,General Tso's Chicken,Chinese,False,False
16,2,Potato Stir-fry,Chinese,True,True
17,2,Bo Cai Chao Fan (Bok Choy Fried Rice),Chinese,True,True
18,2,Twice Cooked Pork (Hui Guo Rou),Chinese,False,False
19,2,Xi Hong Shi Chao Ji Dan (Tomato and Egg Stir-fry),Chinese,True,True
20,2,Shui Zhu Niu Rou (Water Boiled Beef),Chinese,False,False
21,2,Chilli Mushroom,Chinese,True,True
22,2,American Chopsuey,Chinese,True,True
23,2,Sweet and Sour Spare Ribs,Chinese,True,True
24,2,Ma La Xiang Guo (Spicy Dry Pot),Chinese,True,True
25,3,Fried Noodles,Chinese,True,True
26,3,Chilli Paneer,Chinese,True,False
27,3,Schezwan Fried Rice,Chinese,True,True
28,3,Bo Luo Bao (Pineapple Buns),Chinese,True,True
29,3,Steamed Buns (Mantou),Chinese,True,True
30,3,Pineapple Buns,Chinese,True,True
31,3,American Chopsuey,Chinese,True,True
32,3,You Tiao (Fried Doughsticks),Chinese,True,True
33,4,Beef with Black Bean Sauce,Chinese,False,False
34,4,Chilli Paneer,Chinese,True,False
35,4,Schezwan Fried Rice,Chinese,True,True
36,4,Walnut Shrimp,Chinese,True,True
37,4,Steamed Chicken with Ginger and Scallions,Chinese,False,False
38,4,Gobi Manchurian,Chinese,True,True
39,4,Egg Tarts,Chinese,True,True
40,4,Century Egg and Lean Pork Congee,Chinese,False,False
41,4,Nai Lao (Custard Tarts),Chinese,True,True
42,4,Ba Si Xia (Spicy Crayfish),Chinese,False,False
43,4,Spicy Tofu,Chinese,True,True
44,4,Siu Mai (Pork and Shrimp Dumplings),Chinese,False,False
45,4,Oysters with Black Bean Sauce,Chinese,True,True
46,5,Beijing Roast Duck,Chinese,True,True
47,5,American Chopsuey,Chinese,True,True
48,5,Chilli Paneer,Chinese,True,False
49,5,Schezwan Fried Rice,Chinese,True,True
50,5,Char Siu,Chinese,True,True
51,5,Gobi Manchurian,Chinese,True,True
52,5,Shrimp Lo Mein,Chinese,True,True
53,5,Lobster with Ginger and Scallions,Chinese,True,True
54,5,Chilli Mushroom,Chinese,True,True
55,5,Dou Jiang (Soybean Milk),Chinese,True,True
56,6,Butter Chicken,Indian,False,False
57,6,Chana Masala,Indian,True,True
58,6,Bombil Fry,Indian,True,True
59,6,Chicken Vindaloo,Indian,False,False
60,6,Kofta Curry,Indian,True,True
61,6,Aamras Poori,Indian,True,True
62,6,Sarson da Saag & Makki di Roti,Indian,True,True
63,6,Papad,Indian,True,True
64,6,Sambar,Indian,True,True
65,6,Paneer Butter Masala,Indian,True,False
66,6,Pakora,Indian,True,True
67,6,Payasam,Indian,True,True
68,7,Raita,Indian,True,True
69,7,Boondi Raita,Indian,True,True
70,7,Aamras Poori,Indian,True,True
71,7,Mushroom Masala,Indian,True,True
72,7,Suji Halwa,Indian,True,True
