visit_id,menu_id
1,3660
1,3653
2,1403
2,1404
3,11580
3,11581
3,11578
4,4539
4,4553
4,4552
5,13407
5,13403
5,13400
6,12077
7,274
7,269
8,6997
8,6996
9,9436
9,9441
9,9427
10,1409
10,1410
11,6121
12,12087
12,12078
12,12082
13,3115
13,3118
13,3108
13,3109
14,11769
14,11767
14,11764
15,5002
16,2619
16,2625
17,7064
17,7053
17,7060
18,10385
19,1510
19,1518
20,2512
20,2516
21,2308
21,2317
21,2315
21,2307
22,8977
22,8973
23,4971
24,3574
25,10456
25,10451
25,10457
26,4150
27,8791
27,8795
27,8788
28,5774
29,9997
29,9991
29,9993
29,9998
30,913
30,904
31,9743
31,9738
31,9737
32,356
32,352
32,353
33,1409
34,1105
34,1106
34,1110
35,6166
35,6158
35,6163
35,6161
36,8335
36,8337
37,13176
37,13175
37,13169
38,4034
38,4031
38,4033
39,2291
39,2290
39,2283
40,4641
40,4630
41,1863
41,1861
41,1870
42,991
42,984
42,988
42,987
43,11332
43,11336
44,7935
44,7943
44,7940
44,7939
45,7689
46,10287
46,10290
46,10294
47,10354
48,10971
48,10967
48,10977
48,10976
49,12483
49,12492
49,12489
49,12475
50,5534
51,8574
52,10380
52,10378
52,10372
52,10381
53,7631
53,7639
53,7637
54,4971
54,4964
54,4965
54,4961
55,3881
55,3885
55,3886
56,12668
56,12664
56,12671
57,10843
58,11677
58,11681
58,11671
59,1142
60,3445
60,3444
60,3443
61,1256
61,1257
62,11253
62,11261
62,11250
62,11254
63,7729
63,7735
64,12585
65,7312
65,7309
65,7320
65,7317
66,5889
66,5896
66,5894
66,5895
67,12654
68,6850
68,6859
68,6857
68,6851
69,10914
69,10918
69,10924
70,2083
71,1067
71,1065
72,6355
72,6353
72,6350
73,515
73,512
74,10181
74,10185
74,10171
75,10428
75,10425
75,10421
75,10430
76,9653
76,9661
77,9130
77,9131
78,2910
78,2916
79,2626
79,2625
79,2621
79,2619
80,8269
80,8272
81,2198
81,2191
82,10165
83,5746
83,5745
84,6037
84,6040
85,2982
86,3967
86,3960
86,3965
87,3385
87,3386
87,3381
88,13007
88,12998
88,13010
89,9958
89,9961
89,9953
89,9955
90,2666
90,2660
90,2665
90,2662
91,7886
91,7882
92,7448
93,35
93,33
94,725
94,734
94,731
94,728
95,3097
95,3098
96,5534
96,5532
96,5530
96,5529
97,10267
98,9799
98,9803
98,9804
98,9802
99,10066
100,4792
100,4784
101,8949
101,8948
102,995
102,988
102,983
103,3636
103,3631
103,3621
103,3629
104,11574
104,11580
105,10250
105,10259
106,10021
107,6792
107,6802
108,4051
108,4045
109,6482
110,3069
110,3081
111,822
111,826
111,827
111,823
112,7558
112,7563
112,7557
113,5225
113,5236
113,5232
113,5233
114,8318
114,8332
114,8319
115,10818
115,10820
115,10815
115,10817
116,13359
116,13351
116,13358
116,13352
117,963
117,969
117,970
118,2881
118,2877
118,2882
118,2879
119,2432
119,2442
119,2436
120,4860
121,13037
121,13038
122,5321
122,5327
123,963
123,970
123,966
124,5624
124,5628
124,5616
124,5623
125,12879
126,10748
126,10747
127,13362
127,13366
127,13360
127,13368
128,9731
128,9733
129,9964
129,9960
130,9672
130,9687
